character,writing_level,traditional,examples
挨,,挨,挨着 挨 挨打 挨家挨户 忍饥挨饿
傲,,傲,骄傲 傲 傲慢 高傲
罢,,罷,罢工 罢了 罢免 罢休
榜,,榜,排行榜 榜样 标榜
傍,,傍,傍晚
胞,,胞,同胞 细胞 双胞胎
暴,,暴,暴风雨 暴力 暴露 暴雨 风暴
爆,,爆,爆 爆发 爆炸 爆冷门 爆满
奔,,奔,奔跑 奔波 奔赴 奔 东奔西走
逼,,逼,逼 逼近 逼迫 逼真
扁,,扁,扁
拨,,撥,拨打 拨 拨款 拨通
波,,波,波动 波浪 微波炉 奔波 波及
捕,,捕,捕 被捕 捕捉 逮捕
踩,,踩,踩
残,,殘,残疾 残疾人 残酷 残 残留
惨,,慘,悲惨 惨 惨白 惨痛 惨重
仓,,倉,仓库
藏,,藏,藏 收藏 隐藏 宝藏 藏匿
厕,,廁,厕所
侧,,側,侧 两侧 侧面 侧重
策,,策,策划 策略 决策 政策 鞭策
昌,3,昌,昌盛
畅,,暢,畅通 畅谈 畅销 酣畅 流畅
炒,,炒,炒 炒股 炒作
撤,,撤,撤离 撤销 撤 撤换
撑,,撐,撑 支撑
崇,,崇,崇拜 崇高 崇尚
宠,,寵,宠物 宠 宠爱
储,,儲,储存 储备 储蓄
串,2,串,串 串门 一连串
醋,,醋,醋
搭,,搭,搭 搭档 搭配 搭乘 搭建
诞,,誕,诞生 圣诞节 诞辰 荒诞
党,,黨,党 政党
档,,檔,搭档 档 档案 高档 档次
岛,3,島,岛 半岛 岛屿
蹈,,蹈,舞蹈
盗,,盜,盗版 强盗 盗 盗窃 防盗
滴,,滴,滴
抵,,抵,抵达 抵抗 抵触 抵挡 抵消
帝,,帝,皇帝 上帝 帝国 帝国主义
吊,,吊,吊 吊销 提心吊胆
跌,,跌,跌 下跌
督,,督,基督教 监督 督促
赌,,賭,赌 赌博
渡,,渡,渡 过渡 渡过
端,,端,端 端午节 极端 弊端 端正
蹲,,蹲,蹲
夺,,奪,夺 夺取 争夺 剥夺 夺冠
额,,額,金额 名额 差额 额外 份额
恩,,恩,恩人 恩赐 恩惠 恩情 恩怨
番,,番,番 番茄 一番 翻番 三番五次
凡,3,凡,凡是 平凡 凡 非凡
犯,,犯,犯 犯规 犯罪 侵犯 触犯
肺,,肺,肺
废,,廢,作废 半途而废 报废 废 废除
氛,,氛,气氛 氛围
粉,,粉,奶粉 洗衣粉 淀粉 粉 粉丝
愤,,憤,愤怒 发愤图强 气愤
峰,,峰,峰会 高峰 山峰 巅峰 峰回路转
锋,,鋒,先锋 交锋 针锋相对
奉,,奉,奉献 供奉 无可奉告
佛,3,彿/佛,仿佛 佛 佛教
浮,,浮,浮 浮力 浮现 浮躁
副,,副,副 副作用 名副其实
肝,,肝,肝 肝脏
杆,,桿/杆,杆 栏杆
岗,,崗,岗位 上岗 下岗
港,,港,港口 港
稿,,稿,稿子 投稿
攻,,攻,攻击 进攻 攻 攻读 攻关
宫,,宮,宫 宫殿 宫廷 皇宫
巩,,鞏,巩固
贡,3,貢,贡献
孤,,孤,孤独 孤儿 孤单 孤立 孤零零
谷,3,谷,山谷 低谷 峡谷
股,,股,炒股 股 股东 股票 股份
刮,,刮/颳,刮 刮风
拐,,拐,拐 拐弯 拐杖
贯,,貫,一贯 贯彻 贯穿 贯通
轨,,軌,轨道 轨迹 接轨
跪,,跪,跪
憾,,憾,遗憾
耗,,耗,消耗 耗 耗费 耗时 能耗
狠,,狠,狠 凶狠
横,,橫,横 横七竖八 横向 纵横交错
衡,,衡,衡量 平衡 均衡 抗衡 权衡
宏,,宏,宏大 宏观 宏伟
洪,,洪,洪水 洪亮
壶,,壺,壶 水壶
幻,,幻,幻想 变幻莫测 幻觉 幻影 科幻
患,,患,患者 患 患病 患有 隐患
皇,3,皇,皇帝 皇宫 皇后 皇上 皇室
辉,,輝,光辉 辉煌
毁,,毀/燬,毁 摧毁 毁坏 毁灭 烧毁
绘,,繪,绘画 绘声绘色 描绘
慧,,慧,智慧
昏,,昏,昏 黄昏 昏迷
混,,混,混 混合 混乱 混凝土 混淆
吉,3,吉,吉利 吉祥 吉普 吉他 吉祥物
疾,,疾,残疾 残疾人 疾病
佳,,佳,最佳 佳节
嘉,,嘉,嘉宾 嘉年华
尖,2,尖,尖 顶尖 尖端 尖锐
监,,監,监测 监督 总监 监察 监管
捡,,撿,捡
剑,,劍,剑 刻舟求剑
舰,,艦,军舰
践,,踐,实践
鉴,,鑑/鑒,鉴定 借鉴 鉴别 鉴赏 鉴于
箭,,箭,火箭 箭
酱,,醬,果酱 酱 酱油
骄,,驕,骄傲
焦,,焦,焦点 焦 焦急 焦距 焦虑
揭,,揭,揭 揭发 揭露 揭示 揭晓
杰,,傑,杰出
洁,,潔,清洁 清洁工 纯洁 简洁 洁净
截,,截,截止 截至 截 截然不同
井,,井,井
径,,徑,田径 途径 口径 直径
纠,,糾,纠纷 纠正 纠缠
捐,,捐,捐 捐款 捐赠 捐助 捐献
菌,,菌,细菌
刊,,刊,报刊 刊登 刊物
抗,,抗,抵抗 对抗 反抗 抗议 抗衡
扣,,扣,扣 回扣 扣除 扣留 扣人心弦
酷,,酷,残酷 酷 酷似 冷酷 冷酷无情
跨,,跨,跨 跨国 跨越
阔,,闊,广阔 宽阔 阔 开阔 阔绰
啦,,啦,啦 啦啦队
赖,,賴,赖 依赖 耍赖 信赖
栏,,欄,栏目 栏 栏杆 专栏
懒,,懶,懒 懒得 懒惰 偷懒
牢,,牢,牢 牢固 牢记 牢牢 亡羊补牢
梁,,梁,桥梁 栋梁 脊梁
谅,,諒,原谅 谅解 体谅
裂,,裂,分裂 裂 断裂 裂缝 裂痕
灵,,靈,灵活 心灵 机灵 灵 灵感
炉,,爐,微波炉 炉灶 炉子
露,,露,暴露 露 透露 风餐露宿 揭露
略,,略,策略 忽略 战略 粗略 领略
嘛,,嘛,嘛
埋,,埋,埋 埋藏 埋伏 埋没 埋怨
麦,3,麥,小麦
馒,,饅,馒头
盲,,盲,盲人 盲目 文盲
梅,,梅,梅花
蒙,,蒙,蒙 启蒙
盟,,盟,加盟 联盟 盟友 同盟
猛,,猛,猛 猛烈 猛然 凶猛
棉,,棉,棉 棉花
妙,,妙,妙 奇妙 巧妙 精妙 美妙
灭,2,滅,灭 消灭 毁灭 歼灭 灭绝
膜,,膜,膜
磨,,磨,磨 打磨 磨合 磨难 磨损
墨,,墨,墨水 墨
谋,,謀,阴谋 参谋 谋害 谋求 谋生
墓,,墓,墓 坟墓 公墓 墓碑 墓地
纳,,納,采纳 归纳 交纳 缴纳 接纳
泥,,泥,泥 水泥 泥潭 泥土
扭,,扭,扭 别扭 扭曲 扭头 扭转
怒,,怒,发怒 愤怒 恼羞成怒 喜怒哀乐
诺,,諾,承诺 诺言
盼,3,盼,盼望 盼 期盼 左顾右盼
泡,,泡,泡 灯泡 浸泡 泡沫 气泡
炮,,炮/砲,炮 鞭炮 马后炮
偏,,偏,偏 偏差 偏方 偏见 偏僻
贫,,貧,贫困 贫富 贫穷
聘,,聘,聘请 招聘 聘 聘任 聘用
屏,,屏,屏幕
坡,,坡,坡 山坡
扑,,撲,扑 红扑扑 扑克 扑面而来
铺,,鋪,铺 卧铺 铺路
欺,,欺,欺负 欺骗 欺诈
旗,,旗,国旗 锦旗 旗袍 旗帜
恰,,恰,恰当 恰好 恰恰 恰到好处 恰恰相反
迁,,遷,拆迁 搬迁 变迁 迁 迁就
牵,,牽,牵 牵扯 牵挂 牵涉 牵头
铅,,鉛,铅笔 铅
谦,,謙,谦虚 谦逊
潜,,潛,潜力 潜能 潜水 潜艇 潜移默化
歉,,歉,抱歉 道歉 歉意
茄,,茄,番茄 茄子
侵,,侵,侵犯 侵害 侵略 侵权 侵占
倾,,傾,倾向 倾家荡产 倾诉 倾听 倾销
渠,,渠,渠道
券,,券,券 入场券
融,,融,金融 融合 融入 融 融化
乳,,乳,乳制品
