character,writing_level,traditional,examples
按,3,按,按 按照 按时 按摩 按键
把,1,把,把 把握 把柄 把关 把手
搬,,搬,搬 搬家 搬迁
保,3,保,保 保安 保持 保存 保护
被,2,被,被 被子 被迫 被动 被告
币,3,幣,人民币 外币 货币 硬币
标,2,標,标题 标准 目标 标志 商标
并,3,並/併,并 并且 合并 并非 并购
播,3,播,播出 播放 传播 广播 直播
补,3,補,补 补充 补偿 补贴 补考
布,3,布/佈,布 公布 宣布 布置 分布
步,2,步,步 初步 进步 进一步 跑步
材,3,材,教材 材料 身材 题材 棺材
采,3,採/采,采取 采用 采访 采购 采纳
彩,3,彩,彩色 精彩 色彩 彩票 彩电
曾,3,曾,曾经 曾 不曾 似曾相识
察,3,察,观察 警察 考察 察觉 察看
产,2,產,产生 生产 财产 产品 破产
厂,2,廠,厂 工厂 厂长 厂商 厂家
朝,3,朝,朝 朝代 朝着 有朝一日 朝气蓬勃
吵,3,吵,吵 吵架 吵嘴 争吵
衬,3,襯,衬衫 衬衣 衬托
城,2,城,长城 城 城市 城里 城区
程,3,程,程度 工程师 过程 课程 程序
持,3,持,保持 持续 坚持 支持 主持
充,3,充,补充 充满 充电 充电器 充分
初,3,初,初 初一 初步 初级 初中
除,2,除,除了 拆除 除非 除夕 解除
础,3,礎,基础
传,3,傳,传 传播 传来 传说 宣传
创,3,創,创新 创业 创造 创作 创立
此,3,此,因此 此 此外 从此 彼此
村,2,村,村 农村 乡村 村庄
存,3,存,保存 存 存在 生存 存款
达,2,達,表达 达到 到达 发达 传达
代,3,代,代 代表 代表团 古代 现代化
待,3,待,等待 对待 接待 待遇 期待
刀,2,刀,刀 剪刀
导,3,導,导演 领导 指导 导游 导致
底,3,底,到底 底下 年底 彻底 底
调,2,調,调 调查 空调 强调 调整
订,3,訂,订 预订 制订 签订 订单
断,2,斷,不断 断 判断 诊断 中断
顿,3,頓,顿 整顿 顿时 停顿 抑扬顿挫
烦,2,煩,麻烦 烦 不耐烦 烦闷 烦恼
反,2,反,反对 反复 反应 反正 反
范,3,範,范围 规范 模范 示范 防范
防,3,防,防 防止 预防 防治 消防
访,3,訪,访问 采访 拜访 出访 访谈
啡,,啡,咖啡
费,3,費,费 费用 交费 浪费 收费
丰,3,豐,丰富 丰收 丰富多彩 丰厚 丰满
否,2,否,否定 否认 否则 是否 能否
夫,2,夫,大夫 工夫 功夫 夫妇 夫妻
福,3,福,福 幸福 祝福 福利 福气
父,2,父,父母 父亲 父女 父子 师父
付,3,付,付 支付 对付 付出 付费
负,3,負,负责 负担 负责人 胜负 负
富,3,富,丰富 富 财富 富人 富有
概,3,概,大概 概念 概括 概况 概率
赶,3,趕,赶 赶到 赶紧 赶快 赶不上
敢,2,敢,敢 勇敢 不敢当 敢于 敢情
格,3,格,表格 合格 价格 性格 资格
各,2,各,各 各地 各位 各种 各自
根,3,根,根本 根 根据 根基 根深蒂固
功,3,功,成功 功夫 功课 功能 多功能
姑,3,姑,姑娘 姑姑
古,2,古,古 古代 古老 古典 古董
挂,2,掛,挂 挂钩 挂号 挂念 挂失
怪,3,怪,奇怪 怪 大惊小怪 古怪 怪不得
管,2,管,管 管理 不管 吸管 尽管
光,3,光,不光 光 光明 阳光 灯光
规,3,規,规定 规范 大规模 规律 规模
哈,2,哈,哈哈
害,3,害,害怕 危害 伤害 害 厉害
何,3,何,任何 如何 为何 何必 何处
互,3,互,互联网 互相 相互 互动 互补
华,2,華,华人 中华民族 华语 中华 才华
化,2,化,变化 化 现代化 文化 消化
环,3,環,环 环保 环境 环节 循环
婚,3,婚,结婚 离婚 婚礼 订婚 婚纱
积,3,積,积极 面积 积极性 积累 体积
基,3,基,基本 基本上 基础 基地 基金
及,2,及,及时 普及 及格 来不及 来得及
极,3,極,积极 极了 积极性 极 极其
集,3,集,集体 集中 集合 集团 收集
