character,writing_level,traditional,examples
哎,,哎,哎 哎呀
哀,,哀,哀求 悲哀 喜怒哀乐
癌,,癌,癌 癌症
蔼,,藹,和蔼
艾,,艾,艾滋病
唉,,唉,唉
隘,,隘,狭隘
昂,,昂,昂贵 高昂
凹,,凹,凹
熬,,熬,熬 熬夜
奥,,奧,奥秘 奥运会 深奥
澳,,,
扒,,扒,扒
叭,,叭,喇叭
芭,,芭,芭蕾
靶,,靶,靶子
坝,,壩,坝 堤坝
霸,,霸,霸占
掰,,掰,掰
柏,,柏,柏树
扳,,扳,扳
颁,,頒,颁布 颁发 颁奖
斑,,斑,斑点
拌,,拌,拌 搅拌
瓣,,瓣,花瓣
邦,,邦,联邦
绑,,綁,绑 绑架 松绑
谤,,謗,诽谤
磅,,磅,磅
镑,,鎊,英镑
煲,,煲,煲
堡,,堡,堡垒
豹,,豹,豹
曝,,曝,曝光
卑,,卑,卑鄙 自卑
碑,,碑,碑 纪念碑 口碑 里程碑 墓碑
狈,,狽,狼狈
惫,,憊,疲惫 疲惫不堪
崩,,崩,崩溃
绷,,繃,绷 绷带
蹦,,蹦,蹦
鄙,,鄙,卑鄙 鄙视
毙,,斃,枪毙
痹,,痺,麻痹
碧,,碧,碧绿
蔽,,蔽,隐蔽
弊,,弊,弊病 弊端 作弊
臂,,臂,手臂
鞭,,鞭,鞭策 鞭炮
贬,,貶,贬值
辨,,辨,辨别 辨认 分辨
辫,,辮,辫子
飙,,飆,飙升
憋,,憋,憋
彬,,彬,彬彬有礼
滨,,濱,滨海 海滨
缤,,繽,缤纷
丙,,丙,丙
秉,,秉,秉承
柄,,柄,把柄
剥,,剝,剥 剥夺 剥削
伯,,伯,阿拉伯语 伯伯 伯父 伯母
驳,,駁,驳回 反驳
泊,,泊,湖泊 停泊
勃,,勃,蓬勃 朝气蓬勃
舶,,舶,船舶
脖,,脖,脖子
搏,,搏,搏斗 脉搏 拼搏
膊,,膊,胳膊
卜,,蔔/卜,萝卜 占卜
哺,,哺,哺育
怖,,怖,恐怖
睬,,睬,理睬
惭,,慚,惭愧
灿,,燦,灿烂
苍,,蒼,苍蝇
沧,,滄,沧桑
舱,,艙,舱 机舱
糙,,糙,粗糙
曹,,,
槽,,槽,槽 水槽 跳槽
蹭,,蹭,蹭
岔,,岔,打岔
刹,,剎,刹车 一刹那
诧,,詫,诧异 惊诧
掺,,摻,掺
搀,,攙,搀
馋,,饞,馋
禅,,禪,禅杖
缠,,纏,缠 纠缠
铲,,剷/鏟,铲 铲子
阐,,闡,阐述
颤,,顫,颤抖
猖,,猖,猖狂
嫦,,嫦,嫦娥
敞,,敞,敞开 宽敞
钞,,鈔,钞票
巢,,巢,鸟巢
嘲,,嘲,嘲弄 嘲笑
扯,,扯,扯 牵扯
臣,,臣,大臣 功臣
尘,,塵,灰尘
辰,,辰,诞辰
陈,,陳,陈旧 陈列 陈述 新陈代谢
趁,,趁,趁 趁机 趁早 趁着
呈,,呈,呈现 辞呈
惩,,懲,惩处 惩罚
澄,,澄,澄清
橙,,橙,橙汁
逞,,逞,逞能 逞强
秤,,秤,秤
痴,,痴/癡,痴呆 痴迷 痴心 如醉如痴
弛,,弛,松弛
驰,,馳,驰名
齿,,齒,牙齿
侈,,侈,奢侈
耻,,恥,不耻下问 耻辱 耻笑 可耻
斥,,斥,排斥
赤,,赤,赤字 面红耳赤
翅,,翅,翅膀
仇,,仇,报仇 仇 仇恨 仇人
绸,,綢,丝绸
畴,,疇,范畴
酬,,酬,报酬 应酬
稠,,稠,稠 稠密
筹,,籌,筹 筹办 筹备 筹措 筹划
瞅,,瞅,瞅
橱,,櫥,书橱
畜,,畜,牲畜
揣,,揣,揣 揣测 揣摩
踹,,踹,踹
川,,川,川流不息 山川
喘,,喘,喘 喘息
炊,,炊,野炊
垂,,垂,垂 垂头丧气
捶,,捶,捶
锤,,錘,锤子
唇,,唇,嘴唇
醇,,醇,醇厚
蠢,,蠢,蠢 愚蠢
戳,,戳,戳
绰,,綽,绰号 阔绰
瓷,,瓷,瓷 瓷器 陶瓷
慈,,慈,慈善 慈祥 仁慈
磁,,磁,磁带 磁卡 磁盘
赐,,賜,赐 赐教 恩赐
匆,,匆,匆匆 匆忙
囱,,囪,烟囱
葱,,蔥,葱
丛,,叢,丛林
凑,,湊,凑 凑合 凑巧 紧凑
簇,,簇,簇拥
窜,,竄,窜
催,,催,催 催促 催眠
摧,,摧,摧毁
粹,,粹,纯粹
翠,,翠,翠绿
搓,,搓,搓
磋,,磋,磋商
挫,,挫,挫折 抑扬顿挫
歹,,歹,歹徒 好歹
逮,,逮,逮 逮捕
怠,,怠,怠工 怠慢
丹,,丹,牡丹
耽,,耽,耽搁 耽误
荡,,盪/蕩,荡漾 动荡 晃荡 空荡荡 倾家荡产
叨,,叨,唠叨 絮叨
捣,,搗,捣乱
祷,,禱,祈祷
悼,,悼,悼念 追悼会
稻,,稻,稻草 水稻
蹬,,蹬,蹬
邓,,,
凳,,凳,凳子
瞪,,瞪,瞪 目瞪口呆
堤,,堤,堤 堤坝
迪,,迪,启迪
涤,,滌,洗涤剂
笛,,笛,笛子
蒂,,蒂,根深蒂固
缔,,締,取缔
颠,,顛,颠倒 颠覆
巅,,巔,巅峰
甸,,甸,沉甸甸
垫,,墊,垫 垫底 垫子
淀,,澱,沉淀 淀粉 积淀
惦,,惦,惦记
奠,,奠,奠定 祭奠
殿,,殿,殿堂 宫殿
刁,,刁,刁难
叼,,叼,叼
雕,,雕,雕 雕刻 雕塑
钓,,釣,钓鱼 沽名钓誉
爹,,爹,爹
迭,,迭,迭起
谍,,諜,间谍
叠,,疊,重叠 叠 折叠
碟,,碟,光碟
丁,,丁,丁
叮,,叮,叮嘱
盯,,盯,盯
鼎,,鼎,大名鼎鼎
钉,,釘,钉子 钉 碰钉子
董,,董,董事 董事会 董事长 古董
栋,,棟,栋 栋梁
兜,,兜,兜 兜儿 兜售
抖,,抖,颤抖 抖 发抖
陡,,陡,陡
逗,,逗,逗
