word,pinyin,pos,english
安慰,ānwèi,V/Adj,
岸,àn,N,
岸上,àn shang,,
按摩,ànmó,V,
拔,bá,V,
白酒,báijiǔ,N,
拜访,bàifǎng,V,
版,bǎn,N,
扮演,bànyǎn,V,
棒,bàng,Adj,
包围,bāowéi,V,
包装,bāozhuāng,V/N,
保卫,bǎowèi,V,
保养,bǎoyǎng,V,
报答,bàodá,V,
报警,bàojǐng,,
抱怨,bàoyuàn,V,
背包,bēibāo,N,
悲剧,bēijù,N,
悲伤,bēishāng,Adj,
北极,běijí,N,
被动,bèidòng,Adj,
辈,bèi,N,
本人,běnrén,Pron,
鼻子,bízi,N,
比方,bǐfang,N/V,
比重,bǐzhòng,N,
彼此,bǐcǐ,Pron,
必,bì,Adv,
必需,bìxū,V,
毕竟,bìjìng,Adv,
闭幕,bìmù,,
闭幕式,bìmùshì,N,
边境,biānjìng,N,
编辑,biānjí,V,
编辑,biānji,N,
变动,biàndòng,V,
便利,biànlì,Adj/V,
便条,biàntiáo,N,
便于,biànyú,V,
宾馆,bīnguǎn,N,
饼,bǐng,N,
饼干,bǐnggān,N,
病毒,bìngdú,N,
玻璃,bōli,N,
博客,bókè,N,
博览会,bólǎnhuì,N,
博士,bóshì,N,
博物馆,bówùguǎn,N,
薄弱,bóruò,Adj,
不顾,bùgù,V,
不利,bùlì,Adj,
不耐烦,bù nàifán,,
不幸,bùxìng,Adj,
不易,bùyì,Adj,
补偿,bǔcháng,V,
补贴,bǔtiē,V/N,
不曾,bùcéng,Adv,
不得了,bùdéliǎo,Adj,
不敢当,bùgǎndāng,V,
不良,bùliáng,Adj,
不免,bùmiǎn,Adv,
不能不,bù néng bù,,
不时,bùshí,Adv,
不停,bù tíng,,
不许,bùxǔ,V,
不止,bùzhǐ,V,
不足,bùzú,Adj/V,
部位,bùwèi,N,
猜,cāi,V,
猜测,cāicè,V,
裁判,cáipàn,V/N,
采购,cǎigòu,V/N,
彩票,cǎipiào,N,
餐馆,cānguǎn,N,
餐厅,cāntīng,N,
餐饮,cānyǐn,N,
草原,cǎoyuán,N,
册,cè,M,
层次,céngcì,N,
叉,chā,V,
叉子,chāzi,N,
差别,chābié,N,
差距,chājù,N,
插,chā,V,
查询,cháxún,V,
差点儿,chàdiǎnr,Adv,
差一点儿,chàyīdiǎnr,Adv,
拆,chāi,V,
拆除,chāichú,V,
产业,chǎnyè,N,
长度,chángdù,N,
长寿,chángshòu,Adj,
肠,cháng,N,
尝,cháng,V,
尝,cháng,V,
尝试,chángshì,V/N,
厂长,chǎngzhǎng,N,
场面,chǎngmiàn,N,
倡导,chàngdǎo,V,
超越,chāoyuè,V,
车主,chēzhǔ,N,
称,chēng,V,
称号,chēnghào,N,
成本,chéngběn,N,
成交,chéngjiāo,,
成效,chéngxiào,N,
成语,chéngyǔ,N,
承办,chéngbàn,V,
城里,chénglǐ,N,
乘,chéng,V,
乘车,chéng chē,,
乘客,chéngkè,N,
乘坐,chéngzuò,V,
吃力,chīlì,Adj,
池子,chízi,N,
迟,chí,Adj,
冲动,chōngdòng,N/Adj,
冲突,chōngtū,V/N,
充足,chōngzú,Adj,
愁,chóu,V,
丑,chǒu,Adj,
臭,chòu,Adj,
出版,chūbǎn,V,
出差,chūchāi,,
出汗,chūhàn,,
出于,chūyú,V,
初期,chūqī,N,
除非,chúfēi,Conj/Prep,
除夕,chúxī,N,
厨房,chúfáng,N,
处罚,chǔfá,V/N,
处分,chǔfèn,N/V,
处在,chǔzài,V,
传达,chuándá,V,
传递,chuándì,V,
传真,chuánzhēn,N/V,
窗帘,chuānglián,N,
闯,chuǎng,V,
创立,chuànglì,V,
辞典,cídiǎn,N,
辞职,cízhí,,
此后,cǐhòu,N,
此刻,cǐkè,N,
此时,cǐshí,N,
聪明,cōngmíng,Adj,
从而,cóng'ér,Conj,
从中,cóngzhōng,Adv,
脆,cuì,Adj,
存款,cúnkuǎn,N,
寸,cùn,M,
达成,dáchéng,V,
答,dá,V,
答复,dáfù,V/N,
打,dǎ,Prep,
打扮,dǎban,V,
