word,pinyin,pos,english
阿拉伯语,Ālābóyǔ,N,
哎,āi,Intj,
哎呀,āiyā,Intj,
哀求,āiqiú,V,
挨家挨户,āijiā-āihù,,
癌,ái,N,
癌症,áizhèng,N,
艾滋病,àizībìng,N,
唉,ài,Intj,
爱不释手,àibùshìshǒu,,
爱理不理,àilǐ-bùlǐ,,
爱面子,ài miànzi,,
爱惜,àixī,V,
碍事,àishì,,
安定,āndìng,Adj/V,
安抚,ānfǔ,V,
安眠药,ānmiányào,N,
安宁,ānníng,Adj,
安稳,ānwěn,Adj,
安心,ānxīn,Adj,
安逸,ānyì,Adj,
按键,ànjiàn,N,
按理说,ànlǐ shuō,,
按说,ànshuō,Adv,
案件,ànjiàn,N,
暗地里,àndìlǐ,N,
暗杀,ànshā,V,
暗中,ànzhōng,N,
昂贵,ángguì,Adj,
凹,āo,Adj,
熬,áo,V,
熬夜,áoyè,,
傲,ào,Adj,
傲慢,àomàn,Adj,
奥秘,àomì,N,
奥运会,Àoyùnhuì,N,
八卦,bāguà,N,
巴不得,bābudé,V,
扒,bā,V,
芭蕾,bālěi,N,
把柄,bǎbǐng,N,
把关,bǎguān,,
把手,bǎshou,N,
靶子,bǎzi,N,
坝,bà,N,
罢免,bàmiǎn,V,
罢休,bàxiū,V,
霸占,bàzhàn,V,
掰,bāi,V,
白白,báibái,Adv,
百分比,bǎifēnbǐ,N,
百合,bǎihé,N,
百科全书,bǎikē quánshū,,
柏树,bǎishù,N,
摆放,bǎifàng,V,
摆平,bǎipíng,,
摆设,bǎishe,N,
拜会,bàihuì,V,
拜见,bàijiàn,V,
拜年,bàinián,,
拜托,bàituō,V,
扳,bān,V,
颁布,bānbù,V,
颁发,bānfā,V,
颁奖,bānjiǎng,,
斑点,bāndiǎn,N,
搬迁,bānqiān,V,
板块,bǎnkuài,N,
办不到,bàn bu dào,,
半边天,bànbiāntiān,N,
半场,bànchǎng,N,
半岛,bàndǎo,N,
半路,bànlù,N,
半数,bànshù,N,
半途而废,bàntú'érfèi,,
半信半疑,bànxìn-bànyí,,
半真半假,bànzhēn-bànjiǎ,,
扮,bàn,V,
伴,bàn,V/N,
伴侣,bànlǚ,N,
伴随,bànsuí,V,
伴奏,bànzòu,V,
拌,bàn,V,
帮手,bāngshou,N,
绑,bǎng,V,
绑架,bǎngjià,V,
榜样,bǎngyàng,N,
棒球,bàngqiú,N,
磅,bàng,M/N,
包袱,bāofu,N,
包容,bāoróng,V,
包扎,bāozā,V,
剥,bāo,V,
煲,bāo,N/V,
饱和,bǎohé,V,
饱满,bǎomǎn,Adj,
宝库,bǎokù,N,
宝藏,bǎozàng,N,
保管,bǎoguǎn,V/N,
保姆,bǎomǔ,N,
保暖,bǎonuǎn,,
