word,pinyin,pos,english
爱,ài,V,
爱好,àihào,V/N,
八,bā,Num,
爸爸,bàba,N,
爸,bà,N,
吧,ba,Aux,
白,bái,Adj,
白天,báitiān,N,
百,bǎi,Num,
班,bān,N/M,
半,bàn,Num,
半年,bàn nián,,
半天,bàntiān,,
帮,bāng,V,
帮忙,bāngmáng,,
包,bāo,N/M/V,
包子,bāozi,N,
杯,bēi,M,
杯子,bēizi,N,
北,běi,N,
北边,běibian,N,
北京,Běijīng,N,
本,běn,M,
本子,běnzi,N,
比,bǐ,Prep/V,
别,bié,Adv,
别的,biéde,Pron,
别人,biérén,Pron,
病,bìng,N/V,
病人,bìngrén,N,
不大,bù dà,,
不对,bùduì,Adj,
不客气,bù kèqì,,
不用,bùyòng,Adv,
不,bù,Adv,
菜,cài,N,
茶,chá,N,
差,chà,V/Adj,
常,cháng,Adv,
常常,chángcháng,Adv,
唱,chàng,V,
唱歌,chànggē,,
车,chē,N,
车票,chēpiào,N,
车上,chē shang,,
车站,chēzhàn,N,
吃,chī,V,
吃饭,chīfàn,,
出,chū,V,
出来,chūlái,,
出去,chūqù,,
穿,chuān,V,
床,chuáng,N,
次,cì,M,
从,cóng,Prep,
错,cuò,Adj/N,
打,dǎ,V,
打车,dǎchē,,
打电话,dǎ diànhuà,,
打开,dǎkāi,,
打球,dǎ qiú,,
大,dà,Adj,
大学,dàxué,N,
大学生,dàxuéshēng,N,
到,dào,V,
得到,dédào,,
地,de,Aux,
的,de,Aux,
等,děng,V,
地,dì,N,
地点,dìdiǎn,N,
地方,dìfang,N,
地上,dìshang,,
地图,dìtú,N,
弟弟,dìdi,N,
弟,dì,N,
第,dì,Prefix,
第二,dì-èr,Num,
点,diǎn,M/V/N,
电,diàn,N,
电话,diànhuà,N,
电脑,diànnǎo,N,
电视,diànshì,N,
电视机,diànshìjī,N,
电影,diànyǐng,N,
电影院,diànyǐngyuàn,N,
东,dōng,N,
东边,dōngbian,N,
东西,dōngxi,N,
动,dòng,V,
动作,dòngzuò,N,
都,dōu,Adv,
读,dú,V,
读书,dúshū,,
对,duì,Adj,
对不起,duìbuqǐ,V,
多,duō,Adj/Pron,
多少,duōshao,Pron,
饿,è,Adj/V,
儿子,érzi,N,
二,èr,Num,
饭,fàn,N,
饭店,fàndiàn,N,
房间,fángjiān,N,
房子,fángzi,N,
放,fàng,V,
放假,fàngjià,,
放学,fàngxué,,
飞,fēi,V,
飞机,fēijī,N,
非常,fēicháng,Adv,
分,fēn,N/M,
风,fēng,N,
干,gān,Adj,
干净,gānjìng,Adj,
干,gàn,V,
干什么,gàn shénme,,
高,gāo,Adj,
高兴,gāoxìng,Adj,
告诉,gàosu,V,
哥哥,gēge,N,
哥,gē,N,
歌,gē,N,
个,gè,M,
给,gěi,V/Prep,
跟,gēn,Prep/Conj/V,
工人,gōngrén,N,
工作,gōngzuò,V/N,
关,guān,V,
关上,guānshang,,
贵,guì,Adj,
国,guó,N,
国家,guójiā,N,
国外,guó wài,,
过,guò,V,
还,hái,Adv,
还是,háishi,Adv/Conj,
还有,hái yǒu,,
孩子,háizi,N,
汉语,Hànyǔ,N,
汉字,Hànzì,N,
好,hǎo,Adj,
好吃,hǎochī,Adj,
好看,hǎokàn,Adj,
好听,hǎotīng,Adj,
好玩儿,hǎowánr,Adj,
号,hào,N/M,
喝,hē,V,
和,hé,Prep/Conj,
很,hěn,Adv,
后,hòu,N,
后边,hòubian,N,
后天,hòutiān,N,
花,huā,N,
话,huà,N,
坏,huài,Adj,
还,huán,V,
回,huí,V,
回答,huídá,V/N,
回到,huídào,V,
回家,huí jiā,,
回来,huílái,,
回去,huíqù,,
会,huì,V,
火车,huǒchē,N,
机场,jīchǎng,N,
机票,jīpiào,N,
鸡蛋,jīdàn,N,
几,jǐ,Num/Pron,
记,jì,V,
记得,jìde,V,
记住,jìzhù,,
家,jiā,N/M,
家里,jiā li,,
家人,jiārén,N,
间,jiān,M,
见,jiàn,V,
见面,jiànmiàn,,
教,jiāo,V,
叫,jiào,V,
教学楼,jiàoxuélóu,N,
姐姐,jiějie,N,
姐,jiě,N,
介绍,jièshào,V,
今年,jīnnián,N,
今天,jīntiān,N,
进,jìn,V,
进来,jìnlái,,
进去,jìnqù,,
九,jiǔ,Num,
就,jiù,Adv,
觉得,juéde,V,
开,kāi,V,
开车,kāichē,,
开会,kāihuì,,
开玩笑,kāi wánxiào,,
看,kàn,V,
看病,kànbìng,,
看到,kàndào,,
看见,kànjiàn,,
考,kǎo,V,
考试,kǎoshì,,
渴,kě,Adj,
课,kè,N,
课本,kèběn,N,
课文,kèwén,N,
口,kǒu,M/N,
块,kuài,N/M,
快,kuài,Adj/Adv,
来,lái,V,
来到,láidào,V,
老,lǎo,Adj,
老人,lǎorén,N,
老师,lǎoshī,N,
了,le,Aux,
累,lèi,Adj,
冷,lěng,Adj,
里,lǐ,N,
里,lǐ,N,
里边,lǐbian,N,
两,liǎng,Num,
零,líng,Num,
〇,líng,Num,
六,liù,Num,
楼,lóu,N,
楼上,lóu shàng,,
楼下,lóu xià,,
路,lù,N/M,
路口,lùkǒu,N,
路上,lùshang,N,
妈妈,māma,N,
妈,mā,N,
马路,mǎlù,N,
马上,mǎshàng,Adv,
吗,ma,Aux,
买,mǎi,V,
慢,màn,Adj,
忙,máng,Adj,
毛,máo,M,
没,méi,Adv/V,
没关系,méi guānxi,,
没什么,méi shénme,,
没事儿,méishìr,,
没有,méiyǒu,V/Adv,
妹妹,mèimei,N,
妹,mèi,N,
门,mén,N/M,
门口,ménkǒu,N,
门票,ménpiào,N,
们,men,Suffix,
朋友们,péngyoumen,N,
米饭,mǐfàn,N,
面包,miànbāo,N,
面条儿,miàntiáor,N,
名字,míngzi,N,
明白,míngbai,Adj/V,
明年,míngnián,N,
明天,míngtiān,N,
拿,ná,V,
哪,nǎ,Pron,
哪里,nǎlǐ,Pron,
哪里,nǎlǐ,Pron,
哪儿,nǎr,Pron,
哪些,nǎxiē,Pron,
那,nà,Pron,
那边,nàbiān,Pron,
那里,nàlǐ,Pron,
那里,nàlǐ,Pron,
那儿,nàr,Pron,
那些,nàxiē,Pron,
奶,nǎi,N,
奶奶,nǎinai,N,
男,nán,Adj,
男孩儿,nánháir,N,
男朋友,nánpéngyou,N,
男人,nánrén,N,
男生,nánshēng,N,
南,nán,N,
南边,nánbian,N,
难,nán,Adj,
呢,ne,Aux,
能,néng,V,
你,nǐ,Pron,
你们,nǐmen,Pron,
年,nián,M,
您,nín,Pron,
牛奶,niúnǎi,N,
女,nǚ,Adj,
女儿,nǚ'ér,N,
女孩儿,nǚháir,N,
女朋友,nǚpéngyou,N,
女人,nǚrén,N,
女生,nǚshēng,N,
旁边,pángbiān,N,
跑,pǎo,V,
朋友,péngyou,N,
票,piào,N,
七,qī,Num,
起,qǐ,V,
起床,qǐchuáng,,
起来,qǐlái,,
起来,qǐlái,,
汽车,qìchē,N,
前,qián,N,
前边,qiánbian,N,
前天,qiántiān,N,
钱,qián,N,
钱包,qiánbāo,N,
请,qǐng,V,
请假,qǐngjià,,
请进,qǐng jìn,,
请问,qǐngwèn,V,
请坐,qǐng zuò,,
球,qiú,N,
去,qù,V,
去年,qùnián,N,
热,rè,Adj/V,
人,rén,N,
认识,rènshi,V/N,
认真,rènzhēn,Adj,
日,rì,N,
日期,rìqī,N,
肉,ròu,N,
三,sān,Num,
山,shān,N,
商场,shāngchǎng,N,
商店,shāngdiàn,N,
上,shàng,N/V,
上班,shàngbān,,
上边,shàngbian,N,
上车,shàng chē,,
上次,shàng cì,,
上课,shàngkè,,
上网,shàngwǎng,,
上午,shàngwǔ,N,
上学,shàngxué,,
少,shǎo,Adj/V,
谁,shéi,Pr,
谁,shuí,Pr,
身上,shēnshang,N,
身体,shēntǐ,N,
什么,shénme,Pron,
生病,shēngbìng,,
生气,shēngqì,,
生日,shēngrì,N,
十,shí,Num,
时候,shíhou,N,
时间,shíjiān,N,
事,shì,N,
试,shì,V,
是,shì,V,
是不是,shì bu shì,,
手,shǒu,N,
手机,shǒujī,N,
书,shū,N,
书包,shūbāo,N,
书店,shūdiàn,N,
树,shù,N,
水,shuǐ,N,
水果,shuǐguǒ,N,
睡,shuì,V,
睡觉,shuìjiào,,
说,shuō,V,
说话,shuōhuà,,
四,sì,Num,
送,sòng,V,
岁,suì,M,
他,tā,Pron,
他们,tāmen,Pron,
她,tā,Pron,
她们,tāmen,Pron,
太,tài,Adv,
天,tiān,N/M,
天气,tiānqì,N,
听,tīng,V,
听到,tīngdào,,
听见,tīngjiàn,,
听写,tīngxiě,V,
同学,tóngxué,N,
图书馆,túshūguǎn,N,
外,wài,N,
外边,wàibian,N,
外国,wàiguó,N,
外语,wàiyǔ,N,
玩儿,wánr,V,
晚,wǎn,Adj,
晚饭,wǎnfàn,N,
晚上,wǎnshang,N,
网上,wǎng shang,,
网友,wǎngyǒu,N,
忘,wàng,V,
忘记,wàngjì,V,
问,wèn,V,
我,wǒ,Pron,
我们,wǒmen,Pron,
五,wǔ,Num,
午饭,wǔfàn,N,
西,xī,N,
西边,xībian,N,
洗,xǐ,V,
洗手间,xǐshǒujiān,N,
喜欢,xǐhuan,V,
下,xià,N/V,
下班,xiàbān,,
下边,xiàbian,N,
下车,xià chē,,
下次,xià cì,,
下课,xiàkè,,
下午,xiàwǔ,N,
下雨,xià yǔ,,
先,xiān,Adv,
先生,xiānsheng,N,
现在,xiànzài,N,
想,xiǎng,V,
小,xiǎo,Adj,
小孩儿,xiǎoháir,N,
小姐,xiǎojiě,N,
小朋友,xiǎopéngyǒu,N,
小时,xiǎoshí,N,
小学,xiǎoxué,N,
小学生,xiǎoxuéshēng,N,
笑,xiào,V,
写,xiě,V,
谢谢,xièxie,V,
新,xīn,Adj,
新年,xīnnián,N,
星期,xīngqī,N,
星期日,xīngqīrì,N,
星期天,xīngqītiān,N,
行,xíng,V/Adj,
休息,xiūxi,V,
学,xué,V,
学生,xuéshēng,N,
学习,xuéxí,V,
学校,xuéxiào,N,
学院,xuéyuàn,N,
要,yào,V,
爷爷,yéye,N,
也,yě,Adv,
页,yè,M,
一,yī,Num,
衣服,yīfu,N,
医生,yīshēng,N,
医院,yīyuàn,N,
一半,yībàn,Num,
一会儿,yīhuìr,,
一块儿,yīkuàir,N/Adv,
一下儿,yīxiàr,,
一样,yīyàng,Adj,
一边,yībiān,N/Adv,
一点儿,yīdiǎnr,,
一起,yīqǐ,Adv/N,
一些,yīxiē,,
用,yòng,V,
有,yǒu,V,
有的,yǒude,Pron,
有名,yǒumíng,,
有时候,yǒushíhou,Adv,
有时,yǒushí,Adv,
有些,yǒuxiē,Pr,
有一些,yǒuyīxiē,Pr,
有用,yǒuyòng,V,
右,yòu,N,
右边,yòubian,N,
雨,yǔ,N,
元,yuán,M,
远,yuǎn,Adj,
月,yuè,N,
再,zài,Adv,
再见,zàijiàn,V,
在,zài,V/Prep/Adv,
在家,zàijiā,V,
早,zǎo,Adj,
早饭,zǎofàn,N,
早上,zǎoshang,N,
怎么,zěnme,Pron,
站,zhàn,N,
找,zhǎo,V,
找到,zhǎodào,,
这,zhè,Pron,
这边,zhèbiān,Pron,
这里,zhèlǐ,Pron,
这儿,zhèr,Pron,
这些,zhèxiē,Pron,
着,zhe,Aux,
真,zhēn,Adv/Adj,
真的,zhēn de,,
正,zhèng,Adv,
正在,zhèngzài,Adv,
知道,zhīdào,V,
知识,zhīshi,N,
中,zhōng,N,
中国,Zhōngguó,N,
中间,zhōngjiān,N,
中文,Zhōngwén,N,
中午,zhōngwǔ,N,
中学,zhōngxué,N,
中学生,zhōngxuéshēng,N,
重,zhòng,Adj,
重要,zhòngyào,Adj,
住,zhù,V,
准备,zhǔnbèi,V,
桌子,zhuōzi,N,
字,zì,N,
子,zi,Suffix,
桌子,zhuōzi,N,
走,zǒu,V,
走路,zǒulù,,
最,zuì,Adv,
最好,zuìhǎo,Adv,
最后,zuìhòu,N,
昨天,zuótiān,N,
左,zuǒ,N,
左边,zuǒbian,N,
坐,zuò,V,
坐下,zuò xia,,
做,zuò,V,
