word,reading,pos,english
作法,さほう,N,"manners, etiquette, propriety"
様々,さまざま,N,"varied, various"
冷ます,さます,V,"to cool, to let cool"
覚ます,さます,V,to awaken
冷める,さめる,V,"to become cool, to wear off"
覚める,さめる,V,"to wake, to wake up"
左右,さゆう,N,left and right; influence
皿,さら,N,"plate, dish"
更に,さらに,N,"furthermore, moreover"
去る,さる,V,"to leave, to go away"
猿,さる,N,monkey
騒ぎ,さわぎ,N,"uproar, disturbance"
参加,さんか,N,participation
参考,さんこう,N,"reference, consultation"
賛成,さんせい,N,"approval, agreement"
酸性,さんせい,N,acidity
酸素,さんそ,N,oxygen
氏,し,N,"family name, lineage"
詩,し,N,poem; poetry
幸せ,しあわせ,N,"happiness, blessing"
ジーンズ,ジーンズ,N,jeans
ジェット機,ジェットき,N,jet plane
四角,しかく,N,square
直に,じかに,N,"immediately, readily, directly"
しかも,しかも,N,"moreover, furthermore, besides, plus"
四季,しき,N,four seasons
直,じき,N,"immediately, soon, shortly"
時期,じき,N,"time, season, period"
支給,しきゅう,N,"payment, allowance"
至急,しきゅう,N,"urgent, pressing"
しきりに,しきりに,N,"frequently, repeatedly, eagerly"
刺激,しげき,N,"stimulus, impetus, incentive"
資源,しげん,N,resources
事件,じけん,N,"event, affair, incident"
時刻,じこく,N,"time, hour"
自殺,じさつ,N,suicide
事実,じじつ,N,"fact, truth, reality"
支出,ししゅつ,N,"expenditure, expenses"
事情,じじょう,N,"circumstances, situation, reasons"
詩人,しじん,N,poet
自身,じしん,N,oneself
沈む,しずむ,V,to sink; to feel depressed
自然,しぜん,N,"nature, spontaneous"
思想,しそう,N,"thought, idea"
舌,した,N,tongue
次第,しだい,N,order; circumstances; immediate(ly)
従う,したがう,V,"to abide (by the rules), to obey"
したがって,したがって,N,"therefore, consequently"
親しい,したしい,N,"intimate, close (e.g., friend)"
質,しつ,N,"quality, nature (of person)"
失業,しつぎょう,N,unemployment
湿気,しっけ,N,"moisture, humidity, dampness"
実験,じっけん,N,lab work; experiment
実現,じつげん,N,"implementation, materialization, realization"
実行,じっこう,N,"practice, execution (e.g., program), realization"
実際,じっさい,N,in fact; in actuality
実施,じっし,N,"enforcement, carry out, operation"
湿度,しつど,N,humidity
じっと,じっと,N,"patiently, quietly"
実に,じつに,N,"indeed, truly, surely"
実は,じつは,N,actually; in fact
失望,しつぼう,N,"disappointment, despair"
実力,じつりょく,N,ability; force
支店,してん,N,branch store (office)
指導,しどう,N,"leadership, guidance, coaching"
自動,じどう,N,"automatic, self-motion"
児童,じどう,N,"children, juvenile"
品,しな,N,"thing, article, goods"
支配,しはい,N,"rule, control, direction"
芝居,しばい,N,"play, drama"
しばしば,しばしば,N,"often, again and again, frequently"
芝生,しばふ,N,lawn
支払,しはらい,N,payment
支払う,しはらう,V,to pay
死亡,しぼう,N,death
資本,しほん,N,"funds, capital"
姉妹,しまい,N,sisters
しまった (かん),しまった (かん),N,Damn it!
自慢,じまん,N,"pride, boast"
地味,じみ,N,"quiet, plain, conservative"
示す,しめす,V,"to show, to indicate"
占める,しめる,V,to take up; to account for
湿る,しめる,V,"to be wet, to be damp"
霜,しも,N,frost
借金,しゃっきん,N,"debt, loan, liabilities"
しゃべる,しゃべる,V,"to talk, to chat, to chatter (same as 話す (はなす))"
週,しゅう,N,week
州,しゅう,N,"state, province"
銃,じゅう,N,gun
周囲,しゅうい,N,"surroundings, circumference, environs"
収穫,しゅうかく,N,"harvest, crop, ingathering"
宗教,しゅうきょう,N,religion
重視,じゅうし,N,"importance, stress"
就職,しゅうしょく,N,finding employment
ジュース,ジュース,N,"juice, soft drink; deuce"
修正,しゅうせい,N,"amendment, correction"
重体,じゅうたい,N,"seriously ill, critical state"
渋滞,じゅうたい,N,"congestion (e.g., traffic), delay"
重大,じゅうだい,N,"serious, important"
住宅,じゅうたく,N,"resident, housing"
集団,しゅうだん,N,"group, mass"
集中,しゅうちゅう,N,"concentration, focusing the mind"
収入,しゅうにゅう,N,"income, revenue"
住民,じゅうみん,N,"inhabitants, residents"
重要,じゅうよう,N,"important, essential"
修理,しゅうり,N,"repairing, mending"
主義,しゅぎ,N,"doctrine, cause, principle"
宿泊,しゅくはく,N,lodging
手術,しゅじゅつ,N,surgical operation
首相,しゅしょう,N,Prime Minister
手段,しゅだん,N,"means, way, measure"
主張,しゅちょう,N,"claim, insistence, assertion"
出場,しゅつじょう,N,participation
出身,しゅっしん,N,come from
出版,しゅっぱん,N,publication
首都,しゅと,N,capital city
主婦,しゅふ,N,housewife
主要,しゅよう,N,"chief, main"
需要,じゅよう,N,demand
種類,しゅるい,N,"variety, kind"
順,じゅん,N,"order, turn"
瞬間,しゅんかん,N,"moment, second"
順調,じゅんちょう,N,doing well
順番,じゅんばん,N,"turn (in line), order of things"
使用,しよう,N,"use (same as 使うこと (つかうこと)), application, employment, utilization"
小,しょう,N,small
章,しょう,N,"chapter, section; medal"
賞,しょう,N,"prize, award"
障害,しょうがい,N,"obstacle, impediment"
奨学金,しょうがくきん,N,scholarship
乗客,じょうきゃく,N,passenger
上京,じょうきょう,N,proceeding to the capital (Tokyo)
状況,じょうきょう,N,"state of affairs, situation"
条件,じょうけん,N,"conditions, terms"
正午,しょうご,N,"noon, mid-day"
正直,しょうじき,N,"honesty, integrity, frankness"
常識,じょうしき,N,common sense
少女,しょうじょ,N,young girl
少々,しょうしょう,N,a little; short (time) (formal for 少し (すこし))
症状,しょうじょう,N,"symptoms, condition"
生じる,しょうじる,V,"to occur, to arise, to be generated"
状態,じょうたい,N,"condition, situation"
上達,じょうたつ,N,"improvement, advance"
冗談,じょうだん,N,a joke
上等,じょうとう,N,"first class, very good"
衝突,しょうとつ,N,"collision, conflict"
商人,しょうにん,N,"trader, shopkeeper, merchant"
承認,しょうにん,N,"recognition, approval"
少年,しょうねん,N,"boys, juveniles"
商売,しょうばい,N,"trade, business, commerce"
消費,しょうひ,N,"consumption, expenditure"
商品,しょうひん,N,"commodity, merchandise"
賞品,しょうひん,N,"prize, trophy"
消防,しょうぼう,N,"fire fighting, fire department"
情報,じょうほう,N,"information, (military) intelligence"
証明,しょうめい,N,"proof, verification"
省略,しょうりゃく,N,"omission, abbreviation, abridgment"
女王,じょおう,N,queen
職,しょく,N,employment
職業,しょくぎょう,N,"occupation, business"
食卓,しょくたく,N,dining table
食品,しょくひん,N,foodstuff
植物,しょくぶつ,N,"plant, vegetation"
食物,しょくもつ,N,"food, foodstuff"
食欲,しょくよく,N,appetite (for food)
食料,しょくりょう,N,food
食糧,しょくりょう,N,"provisions, rations"
書斎,しょさい,N,"study, den"
女子,じょし,N,"woman, girl"
助手,じょしゅ,N,"helper, assistant"
徐々に,じょじょに,N,"slowly, little by little"
署名,しょめい,N,signature
書物,しょもつ,N,books
女優,じょゆう,N,actress
処理,しょり,N,"processing, treatment, disposition"
書類,しょるい,N,"documents, official papers"
知らせ,しらせ,N,notice
尻,しり,N,"buttocks, bottom"
知合い,しりあい,N,acquaintance
印,しるし,N,mark; symbol; evidence
城,しろ,N,castle
進学,しんがく,N,going on to university
神経,しんけい,N,"nerve, sensitivity"
真剣,しんけん,N,"seriousness, earnestness"
信仰,しんこう,N,"(religious) faith, belief"
信号,しんごう,N,"traffic lights, signal, semaphore"
人工,じんこう,N,"artificial, man made, human work,"
深刻,しんこく,N,serious
診察,しんさつ,N,medical examination (of a patient)
人種,じんしゅ,N,race (of people)
信じる,しんじる,V,to believe
人生,じんせい,N,"(human) life (e.g., conception to death)"
親戚,しんせき,N,relative(s)
新鮮,しんせん,N,fresh
心臓,しんぞう,N,heart
身体,しんたい,N,the body
身長,しんちょう,N,"height (of body), stature"
慎重,しんちょう,N,"careful, prudent, cautious"
審判,しんぱん,N,"umpire, referee, judgment"
人物,じんぶつ,N,"character, personality, talented man"
進歩,しんぽ,N,"improvement, progress, development"
親友,しんゆう,N,"close friend, buddy"
信用,しんよう,N,"confidence, dependence"
信頼,しんらい,N,"reliance, trust, confidence"
心理,しんり,N,mentality
人類,じんるい,N,"mankind, humanity"
巣,す,N,"nest, breeding place"
酢,す,N,vinegar
図,ず,N,"figure, drawing, illustration"
水準,すいじゅん,N,"level, standard"
推薦,すいせん,N,recommendation
スイッチ,スイッチ,N,switch
睡眠,すいみん,N,sleep
数,すう,N,"number, figure"
数字,すうじ,N,"numeral, figure"
スープ,スープ,N,(Western) soup
末,すえ,N,"the end of, powder"
姿,すがた,N,"figure, shape, appearance"
スキー,スキー,N,ski
救う,すくう,V,"to rescue from, to help out of"
すくなくとも,すくなくとも,N,at least
優れる,すぐれる,V,"to surpass, to outstrip, to excel"
スケート,スケート,N,"skate(s), skating"
スケジュール,スケジュール,N,schedule
少しも,すこしも,N,"anything of, not one bit"
過ごす,すごす,V,"to pass, to spend (time)"
筋,すじ,N,"muscle, string, line"
進める,すすめる,V,"to advance, to promote, to hasten"
勧める,すすめる,V,"to urge (someone) to do (something), to recommend"
スター,スター,N,star
スタイル,スタイル,N,style
スタンド,スタンド,N,stand
頭痛,ずつう,N,headache
ずっと,ずっと,N,for a long time; all the time; consecutively
すっぱい,すっぱい,N,"sour, acid"
すてき,すてき,N,"lovely, great"
既に,すでに,N,already (same as もう)
すなわち,すなわち,N,"that is, namely, e.g."
スピーチ,スピーチ,N,speech
全て,すべて,N,"all, the whole, entirely"
済ませる,すませる,V,to be finished
墨,すみ,N,ink
すみません (かん),すみません (かん),N,"sorry, excuse me"
澄む,すむ,V,"to clear (e.g., weather), to become transparent"
清む,すむ,V,"to clear (e.g., weather), to become transparent"
刷る,する,V,to print
為る,する,V,"to do, to attempt"
鋭い,するどい,N,"pointed, sharp"
すれ違う,すれちがう,V,to pass by one another
ずれる,ずれる,N,"move, off the point"
正,せい,N,"(logical) true, regular"
生,せい,N,birth
性,せい,N,"sex, gender"
姓,せい,N,"surname, family name"
所為,せい,N,"cause, reason, fault"
税,ぜい,N,tax
性格,せいかく,N,"character, personality"
正確,せいかく,N,"accurate, punctuality, exact"
世紀,せいき,N,century
請求,せいきゅう,N,"claim, demand, request"
税金,ぜいきん,N,"tax, duty"
清潔,せいけつ,N,clean
制限,せいげん,N,"restriction, restraint, limitation"
成功,せいこう,N,"success, hit"
正式,せいしき,N,"official, formal"
性質,せいしつ,N,"nature, property, disposition"
精神,せいしん,N,"mind, soul, spirit"
成人,せいじん,N,adult
精々,せいぜい,N,"at the most, at best"
成績,せいせき,N,"grade (i.e., on a test), academic record"
製造,せいぞう,N,"manufacture, production"
贅沢,ぜいたく,N,"luxury, extravagance"
成長,せいちょう,N,growth
生長,せいちょう,N,growth
制度,せいど,N,"system, institution"
青年,せいねん,N,"youth, young man"
生年月日,せいねんがっぴ,N,birth date
製品,せいひん,N,"manufactured goods, finished goods"
政府,せいふ,N,"government, administration"
生物,せいぶつ,N,"living thing, organism"
生命,せいめい,N,life
整理,せいり,N,"sorting, arrangement"
咳,せき,N,cough
石炭,せきたん,N,coal
責任,せきにん,N,"duty, responsibility"
石油,せきゆ,N,"oil, petroleum, kerosene"
世間,せけん,N,"world, society"
説,せつ,N,theory
積極的,せっきょくてき,N,"positive, active, proactive"
設計,せっけい,N,"plan, design"
絶対,ぜったい,N,"definitely, without fail, absoluteness"
セット,セット,N,set
愛,あい,N,love
相変わらず,あいかわらず,N,"as ever, as usual"
愛情,あいじょう,N,"love, affection"
合図,あいず,N,"sign, signal"
アイスクリーム,アイスクリーム,N,ice cream
愛する,あいする,V,to love
相手,あいて,N,partner; addressee; the person you are talking to
あいにく,あいにく,N,unfortunately
遭う,あう,V,"to meet, to encounter (undesirable nuance)"
アウト,アウト,N,out
明かり,あかり,N,"lamplight, light (in general)"
空き,あき,N,"vacancy, opening, space"
明らか,あきらか,N,"obvious, clear"
諦める,あきらめる,V,"to give up, to abandon"
飽きる,あきる,V,"to get tired of, to lose interest in"
握手,あくしゅ,N,handshake
悪魔,あくま,N,"devil, demon, evil spirit"
明ける,あける,V,"to dawn, to become daylight"
揚げる,あげる,V,"to lift, to fry"
挙げる,あげる,V,"to raise; to list, to cite"
預かる,あずかる,V,to keep (something) for (someone)
預ける,あずける,V,"to give into custody, to deposit"
汗,あせ,N,"sweat, perspiration"
与える,あたえる,V,to give
温かい,あたたかい,N,warm
暖まる,あたたまる,V,to warm up
温まる,あたたまる,V,"to warm oneself, to get warm"
暖める,あたためる,V,"to warm (up to someone/something), to heat (up to someone/something)"
温める,あたためる,V,"to warm, to heat"
辺り,あたり,N,"vicinity, nearby"
当たり前,あたりまえ,N,"usual, common, obvious"
当たる,あたる,V,"to be hit, to be successful"
あちこち,あちこち,N,here and there
扱う,あつかう,V,"to treat, to handle, to deal with"
集まり,あつまり,N,"gathering, meeting, collection"
当てる,あてる,V,to hit; to apply to
跡,あと,N,trace; remains; scar
穴,あな,N,hole
油,あぶら,N,oil
脂,あぶら,N,fat
誤り,あやまり,N,error
粗,あら,N,"defect, flaw, fault"
嵐,あらし,N,storm
争う,あらそう,V,"to dispute, to argue, to fight"
新た,あらた,N,"new, fresh"
あらゆる,あらゆる,N,"all, every"
表す,あらわす,V,"to express, to show"
現す,あらわす,V,"to show, to appear, to reveal"
著す,あらわす,V,"to write, to publish"
現れ,あらわれ,N,"expression, indication, sign"
現れる,あらわれる,V,"to appear (v.i.), to become visible; to express"
ありがとう,ありがとう,N,Thank you
或,ある,N,"a certain..., some..."
あるいは,あるいは,N,"or, perhaps"
アルバム,アルバム,N,album
泡,あわ,N,"bubble, foam"
合わせる,あわせる,V,to combine
慌てる,あわてる,V,to become confused、to panic
哀れ,あわれ,N,"helpless, pity, pathetic"
案,あん,N,"plan, scheme, proposal"
案外,あんがい,N,unexpectedly
暗記,あんき,N,"memorization, learning by heart"
安定,あんてい,N,"stability, equilibrium"
あんなに,あんなに,V,"to that extent, to that degree"
あんまり,あんまり,N,"not very, not much"
胃,い,N,stomach
委員,いいん,N,committee member
意外,いがい,N,"unexpected, surprising"
行き,いき,N,going
息,いき,N,breath
勢い,いきおい,N,"force, vigor, momentum"
生き物,いきもの,N,"living thing, creature"
いけない,いけない,N,"must not do, bad, wrong"
